Group,Label,Description,Format,Summary,Instruction,States,TBit,UsedIn
Arithmetic,ADD,Add binary,"ADD #imm,Rn",Rn + imm → Rn,0111nnnniiiiiiii,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,ADD,Add binary,"ADD Rm,Rn",Rn + Rm → Rn,0011nnnnmmmm1100,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,ADDC,Add with Carry,"ADDC Rm,Rn","Rn + Rm + T → Rn, carry → T",0011nnnnmmmm1110,1,Carry," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,ADDV,Add with V Flag Overflow Check,"ADDV Rm,Rn","Rn + Rm → Rn, overflow → T",0011nnnnmmmm1111,1,Overflow," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Logic Operation,AND,AND Logical,"AND #imm,R0",R0 & imm → R0,11001001iiiiiiii,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Logic Operation,AND,AND Logical,"AND Rm,Rn",Rn & Rm → Rn,0010nnnnmmmm1001,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Logic Operation,AND_B,AND Logical (Byte),"AND.B #imm,@(R0,GBR)",(R0 + GBR) & imm → (R0 + GBR),11001101iiiiiiii,4,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,BCLR,Bit Clear,"BCLR #imm3,Rn",0 → imm of Rn,10000110nnnn0iii,1,--," sh2a "
Branch,BF,Branch if False,BF label,"If T = 0 PC + 4 + disp × 2 → PC If T = 1, nop",10001011dddddddd,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Branch,BF_S,Branch if False with Delay Slot,BF/S label,"If T = 0 PC + 4 + disp × 2 → PC If T = 1, nop",10001111dddddddd,1,--," sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,BLD,Bit Load,"BLD #imm3,Rn",imm of Rn → T,10000111nnnn1iii,1,--," sh2a "
Branch,BRA,Branch,BRA label,PC + 4 + disp × 2 → PC,1010dddddddddddd,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Branch,BRAF,Branch Far,BRAF Rn,PC + 4 + Rn → PC,0000nnnn00100011,2,--," sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,BSET,Bit Set,"BSET #imm3,Rn",1 → imm of Rn,10000110nnnn1iii,1,--," sh2a "
Branch,BSR,Branch to Subroutine,BSR label,"PC + 4 → PR, PC + 4 + disp × 2 → PC",1011dddddddddddd,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Branch,BSRF,Branch to Subroutine Far,BSRF Rn,"PC + 4 → PR, PC + 4 + Rn → PC",0000nnnn00000011,2,--," sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,BST,Bit Store,"BST #imm3,Rn",T → imm of Rn,10000111nnnn0iii,1,--," sh2a "
Branch,BT,Branch if True,BT label,"If T = 1 PC + 4 + disp × 2 → PC If T = 0, nop",10001001dddddddd,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Branch,BT_S,Branch if True with Delay Slot,BT/S label,"If T = 1 PC + 4 + disp × 2 → PC If T = 0, nop",10001101dddddddd,1,--," sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CLIPS_B,Signed Saturation Value Comparison (Byte),CLIPS.B Rn,"When Rn > (H'0000007F), (H'0000007F) → Rn, 1 → CS when Rn < (H'FFFFFF80), (H'FFFFFF80) → Rn, 1 → CS",0100nnnn10010001,1,--," sh2a "
Arithmetic,CLIPS_W,Signed Saturation Value Comparison (Word),CLIPS.W Rn,"When Rn > (H'00007FFF), (H'00007FFF) → Rn, 1 → CS When Rn <(H'FFFF8000),(H'FFFF8000) → Rn, 1 → CS",0100nnnn10010101,1,--," sh2a "
Arithmetic,CLIPU_B,Unsigned Saturation Value Comparison (Byte),CLIPU.B Rn,"When Rn > (H'000000FF), (H'000000FF) → Rn, 1 → CS",0100nnnn10000001,1,--," sh2a "
Arithmetic,CLIPU_W,Unsigned Saturation Value Comparison (Word),CLIPU.W Rn,"When Rn > (H'0000FFFF), (H'0000FFFF) → Rn, 1 → CS",0100nnnn10000101,1,--," sh2a "
System Control,CLRMAC,Clear MAC Register,CLRMAC,"0 → MACH, MACL",0000000000101000,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,CLRS,Clear S Bit,CLRS,0 → S,0000000001001000,1,--," sh3 sh3e sh4 sh4a "
System Control,CLRT,Clear T Bit,CLRT,0 → T,0000000000001000,1,0," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpEq,Compare Equal,"CMP/EQ #imm,R0","When R0 = imm, 1 → T  Otherwise, 0 → T",10001000iiiiiiii,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpEq,Compare Equal,"CMP/EQ Rm,Rn","When Rn = Rm, 1 → T  Otherwise, 0 → T",0011nnnnmmmm0000,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpGe,Compare Greater or Equal (Signed),"CMP/GE Rm,Rn","When Rn ≥ Rm (signed), 1 → T  Otherwise, 0 → T",0011nnnnmmmm0011,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpGt,Compare Greater Than (Signed),"CMP/GT Rm,Rn","When Rn > Rm (signed), 1 → T  Otherwise, 0 → T",0011nnnnmmmm0111,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpHi,Compare Higher (Unsigned),"CMP/HI Rm,Rn","When Rn > Rm (unsigned),   1 → T Otherwise, 0 → T",0011nnnnmmmm0110,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpHs,Compare Higher or Same (Unsigned),"CMP/HS Rm,Rn","When Rn ≥ Rm (unsigned),   1 → T Otherwise, 0 → T",0011nnnnmmmm0010,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpPl,Compare Plus (Positive),CMP/PL Rn,"When Rn > 0, 1 → T  Otherwise, 0 → T",0100nnnn00010101,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpPz,Compare Plus or Zero,CMP/PZ Rn,"When Rn ≥ 0, 1 → T  Otherwise, 0 → T",0100nnnn00010001,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,CmpStr,Compare String,"CMP/STR Rm,Rn","When any bytes are equal,   1 → T Otherwise, 0 → T",0010nnnnmmmm1100,1,Comparison," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,DIV0S,Divide Step 0 as Signed,"DIV0S Rm,Rn","MSB of Rn → Q, MSB of Rm → M, M^Q → T",0010nnnnmmmm0111,1,Calculation," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,DIV0U,Divide Step 0 as Unsigned,DIV0U,0 → M/Q/T,0000000000011001,1,0," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,DIV1,Divide Step 1,"DIV1 Rm,Rn",1-step division (Rn ÷ Rm),0011nnnnmmmm0100,1,Calculation," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,DIVS,Division Signed,"DIVS R0,Rn",Signed operation of Rn÷R0 → Rn 32 ÷ 32 → 32 bits,0100nnnn10010100,36,--," sh2a "
Arithmetic,DIVU,Division Unsigned,"DIVU R0,Rn",Unsigned operation of Rn ÷ R0 → Rn 32 ÷ 32 → 32 bits,0100nnnn10000100,34,--," sh2a "
Arithmetic,DMULS_L,Double-length Multiply as Signed (Long),"DMULS.L Rm,Rn","Signed, Rn × Rm → MACH, MACL",0011nnnnmmmm1101,2-5,--," sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,DMULU_L,Double-length Multiply as Unsigned (Long),"DMULU.L Rm,Rn","Unsigned, Rn × Rm → MACH, MACL",0011nnnnmmmm0101,2-5,--," sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,DT,Decrement and Test,DT Rn,"Rn  1 → Rn; if Rn = 0, 1 → T if Rn ≠ 0, 0 → T",0100nnnn00010000,1,Comparison," sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,EXTS_B,Extend as Signed (Byte),"EXTS.B Rm,Rn",Rm sign-extended from byte → Rn,0110nnnnmmmm1110,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,EXTS_W,Extend as Signed (Word),"EXTS.W Rm,Rn",Rm sign-extended from word → Rn,0110nnnnmmmm1111,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,EXTU_B,Extend as Unsigned (Byte),"EXTU.B Rm,Rn",Rm zero-extended from byte → Rn,0110nnnnmmmm1100,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,EXTU_W,Extend as Unsigned (Word),"EXTU.W Rm,Rn",Rm zero-extended from word → Rn,0110nnnnmmmm1101,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Floating Point,FABS,Floating Point Absolute Value,FABS DRn,DRn & H'7FFF FFFF FFFF FFFF → Drn,1111nnn001011101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FABS,Floating Point Absolute Value,FABS FRn,FRn & H'7FFF FFFF → FRn,1111nnnn01011101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FADD,Floating Point Add,"FADD DRm,DRn",DRn + DRm → DRn,1111nnn0mmm00000,6,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FADD,Floating Point Add,"FADD FRm,FRn",FRn + FRm → FRn,1111nnnnmmmm0000,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FCMPeq,Floating Point Compare Equal,"FCMP/EQ DRm,DRn",(DRn==DRm)?1:0 → T,1111nnn0mmm00100,1,1/0," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FCMPeq,Floating Point Compare Equal,"FCMP/EQ FRm,FRn",(FRn==FRm)?1:0 → T,1111nnnnmmmm0100,1,1/0," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FCMPgt,Floating Point Compare Greater Than,"FCMP/GT DRm,DRn",(DRn>DRm)?1:0 → T,1111nnn0mmm00101,2,1/0," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FCMPgt,Floating Point Compare Greater Than,"FCMP/GT FRm,FRn",(FRn>FRm)?1:0 → T,1111nnnnmmmm0101,2,1/0," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FCNVDS,Floating Point Convert Double to Single Precision,"FCNVDS DRm,FPUL",(float)DRm → FPUL,1111mmm010111101,2,--," sh2a sh4 sh4a "
Floating Point,FCNVSD,Floating Point Convert Single to Double Precision,"FCNVSD FPUL,DRn",(double)FPUL → DRn,1111nnn010101101,2,--," sh2a sh4 sh4a "
Floating Point,FDIV,Floating Point Divide,"FDIV DRm,DRn",DRn/DRm → DRn,1111nnn0mmm00011,23,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FDIV,Floating Point Divide,"FDIV FRm,FRn",FRn/FRm → FRn,1111nnnnmmmm0011,10,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FIPR,Floating Point Inner Product,"FIPR FVm,FVn",FVn ⋅ FVm → FR[n + 3],1111nnmm11101101,1,--," sh4 sh4a "
Floating Point,FLDI0,Floating Point Load Immediate 0.0,FLDI0 FRn,0x00000000 → FRn,1111nnnn10001101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FLDI1,Floating Point Load Immediate 1.0,FLDI1 FRn,0x3F800000 → FRn,1111nnnn10011101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FLDS,Floating Point Load to System Register,"FLDS FRm,FPUL",FRm → FPUL,1111mmmm00011101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FLOAT,Floating Point Convert from Integer,"FLOAT FPUL,DRn",(float)FPUL → DRn,1111nnn000101101,2,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FLOAT,Floating Point Convert from Integer,"FLOAT FPUL,FRn",(float)FPUL → FRn,1111nnnn00101101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMAC,Floating Point Multiply and Accumulate,"FMAC FR0,FRm,FRn",FR0*FRm + FRn → FRn,1111nnnnmmmm1110,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV @(R0,Rm),DRn",(R0 + Rm) → DRn,1111nnn0mmmm0110,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV @(R0,Rm),XDn",(R0 + Rm) → XDn,1111nnn1mmmm0110,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV @Rm,DRn",(Rm) → DRn,1111nnn0mmmm1000,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV @Rm,XDn",(Rm) → XDn,1111nnn1mmmm1000,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV @Rm+,DRn","(Rm) → DRn, Rm + 8 → Rm",1111nnn0mmmm1001,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV @Rm+,XDn","(Rm) → XDn, Rm + 8 → Rm",1111nnn1mmmm1001,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV DRm,@-Rn","Rn-8 → Rn, DRm → (Rn)",1111nnnnmmm01011,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV DRm,@(R0,Rn)",DRm → (R0 + Rn),1111nnnnmmm00111,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV DRm,@Rn",DRm → (Rn),1111nnnnmmm01010,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV DRm,DRn",DRm → DRn,1111nnn0mmm01100,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV DRm,XDn",DRm → XDn,1111nnn1mmm01100,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV FRm,FRn",FRm → FRn,1111nnnnmmmm1100,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV XDm,@-Rn","Rn  = 8, XDm → (Rn)",1111nnnnmmm11011,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV XDm,@(R0,Rn)",XDm → (R0 + Rn),1111nnnnmmm10111,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV XDm,@Rn",XDm → (Rn),1111nnnnmmm11010,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV XDm,DRn",XDm → DRn,1111nnn0mmm11100,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMOV,Floating Point Move,"FMOV XDm,XDn",XDm → XDn,1111nnn1mmm11100,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMUL,Floating Point Multiply,"FMUL DRm,DRn",DRn*DRm → DRn,1111nnn0mmm00010,6,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FMUL,Floating Point Multiply,"FMUL FRm,FRn",FRn*FRm → FRn,1111nnnnmmmm0010,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FNEG,Floating Point Negate,FNEG DRn,DRn ^ H'8000 0000 0000 0000  → Drn,1111nnn001001101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FNEG,Floating Point Negate,FNEG FRn,FRn ∧ H'80000000 → FRn,1111nnnn01001101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FPCHG,PR-bit Change,FPCHG,~FPSCR.PR → FPSCR.PR,1111011111111101,1,--," sh4a "
Floating Point,FRCHG,FR-bit Change,FRCHG,FPSCR.FR = ~FPSCR.FR,1111101111111101,1,--," sh4 sh4a "
Floating Point,FSCA,Floating Point Sine and Cosine Approximate,"FSCA FPUL,DRn",sin(FPUL) → Frn cos(FPUL) → FR[n+1],1111nnn011111101,3,--," sh4 sh4a "
Floating Point,FSCHG,SZ-bit Change,FSCHG,FPSCR.SZ = ~FPSCR.SZ,1111001111111101,1,--," sh2a sh4 sh4a "
Floating Point,FSQRT,Floating Point Square Root,FSQRT DRn,√DRn → DRn,1111nnn001101101,22,--," sh2a sh3e sh4 sh4a "
Floating Point,FSQRT,Floating Point Square Root,FSQRT FRn,√FRn → FRn,1111nnnn01101101,9,--," sh2a sh3e sh4 sh4a "
Floating Point,FSRRA,Floating Point Square Reciprocal Approximate,FSRRA FRn,1/sqrt(FRn)* → Frn,1111nnnn01111101,1,--," sh4 sh4a "
Floating Point,FSTS,Floating Point Store System Register,"FSTS FPUL,FRn",FPUL → FRn,1111nnnn00001101,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FSUB,Floating Point Subtract,"FSUB DRm,DRn",DRn  DRm → DRn,1111nnn0mmm00001,6,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FSUB,Floating Point Subtract,"FSUB FRm,FRn",FRn  FRm → FRn,1111nnnnmmmm0001,1,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FTRC,Floating Point Truncate and Convert to Integer,"FTRC DRm,FPUL",(long)DRm → FPUL,1111mmm000111101,2,--," sh2a sh2e sh3e sh4 sh4a "
Floating Point,FTRC,Floating Point Truncate and Convert to Integer,"FTRC FRm,FPUL",(long)FRm → FPUL,1111mmmm00111101,1,--," sh2a sh2e sh3e sh4 sh4a "
